MONTH,REGION_NAME,ITEM_CODE,SOLD_QTY
Apr-18,B Baria R,ACS,39.00
Apr-18,B Baria R,BCS,27.00
Apr-18,B Baria R,DNC,11.00
Apr-18,B Baria R,DNL,832.00
Apr-18,B Baria R,DNM,154.00
Apr-18,B Baria R,DTF,78.00
Apr-18,B Baria R,FMS,77.00
Apr-18,B Baria R,FPP,25.00
Apr-18,B Baria R,GBF,260.00
Apr-18,B Baria R,HCF,518.00
Apr-18,B Baria R,MBS,182.00
Apr-18,B Baria R,MCF,120.00
Apr-18,B Baria R,MSS,234.00
Apr-18,B Baria R,SDP,9126.00
Apr-18,B Baria R,SJC,40.00
Apr-18,B Baria R,SOM,108.00
Apr-18,B Baria R,SPM,265.00
Apr-18,B Baria R,TCS,5.00
Apr-18,B Baria R,VSF,18.00
Apr-18,Barisal R,ACS,104.00
Apr-18,Barisal R,BCS,27.00
Apr-18,Barisal R,DNC,142.00
Apr-18,Barisal R,DNL,858.00
Apr-18,Barisal R,DNM,784.00
Apr-18,Barisal R,DTF,364.00
Apr-18,Barisal R,FMS,143.00
Apr-18,Barisal R,FPP,175.00
Apr-18,Barisal R,GBF,1118.00
Apr-18,Barisal R,HCF,2184.00
Apr-18,Barisal R,MBS,624.00
Apr-18,Barisal R,MCF,698.00
Apr-18,Barisal R,MOQ,12.00
Apr-18,Barisal R,MOS,24.00
Apr-18,Barisal R,MSS,1300.00
Apr-18,Barisal R,SDP,16185.00
Apr-18,Barisal R,SJC,62.00
Apr-18,Barisal R,SOM,37.00
Apr-18,Barisal R,SPM,2491.00
Apr-18,Barisal R,TCS,79.00
Apr-18,Bogra R,ACS,130.00
Apr-18,Bogra R,BCS,27.00
Apr-18,Bogra R,BDM,1.00
Apr-18,Bogra R,BRC,1.00
Apr-18,Bogra R,DNC,37.00
Apr-18,Bogra R,DNL,13.00
Apr-18,Bogra R,DNM,140.00
Apr-18,Bogra R,DTF,117.00
Apr-18,Bogra R,FMS,37.00
Apr-18,Bogra R,FOS,5.00
Apr-18,Bogra R,FPP,100.00
Apr-18,Bogra R,GBF,364.00
Apr-18,Bogra R,HCF,1351.00
Apr-18,Bogra R,MBS,273.00
Apr-18,Bogra R,MCF,246.00
Apr-18,Bogra R,MSS,546.00
Apr-18,Bogra R,SDP,5811.00
Apr-18,Bogra R,SJC,35.00
Apr-18,Bogra R,SOM,68.00
Apr-18,Bogra R,SPM,795.00
Apr-18,Bogra R,STF,52.00
Apr-18,Bogra R,TCS,10.00
Apr-18,Chattogram North R,BCS,18.00
Apr-18,Chattogram North R,DNC,477.00
Apr-18,Chattogram North R,DNL,767.00
Apr-18,Chattogram North R,DNM,931.00
Apr-18,Chattogram North R,DTF,260.00
Apr-18,Chattogram North R,FMS,269.00
Apr-18,Chattogram North R,FPP,225.00
Apr-18,Chattogram North R,GBF,2210.00
Apr-18,Chattogram North R,HCF,1260.00
Apr-18,Chattogram North R,MBS,130.00
Apr-18,Chattogram North R,MCF,546.00
Apr-18,Chattogram North R,MOQ,5.00
